name,continent,area,pop,lifeExp,gdpPercap
Lao PDR,Asia,229080.42229556548,6576397,65.975,5436.48264275006
Myanmar,Asia,679573.9942370827,51924182,66.285,4770.01209867368
Vietnam,Asia,335990.80172830634,92544915,75.855,5264.82809971072
Dem. Rep. Korea,Asia,125679.21603018776,25116363,71.179,NA
Republic of Korea,Asia,99044.36683048942,50746659,81.7219512195122,33425.6895931418
Mongolia,Asia,1544322.1501910465,2923896,68.847,11348.6473412397
India,Asia,3142892.0976928216,1293859294,68.021,5385.14181406703
Bangladesh,Asia,133782.1414146553,159405279,71.803,2973.0415646346
Bhutan,Asia,39377.40200573448,776448,69.43,7366.42412644897
Nepal,Asia,150706.87132155872,28323241,69.511,2266.18429824848
Pakistan,Asia,874119.9983153947,185546257,66.139,4576.2270153496
Afghanistan,Asia,652270.0703080253,32758020,62.895,1838.96024371997
Tajikistan,Asia,138111.759254274,8362745,70.69,2546.50048351137
Kyrgyzstan,Asia,195874.65849700352,5835500,70.4024390243902,3181.64216292265
Turkmenistan,Asia,480809.52185503166,5466241,67.552,14332.3657698371
Iran,Asia,1617559.040246604,78411092,75.466,16924.2006778247
Syria,Asia,185004.12549459527,19203090,69.817,NA
Armenia,Asia,28656.600751533588,2906220,74.255,7971.11792762162
Sweden,Europe,450581.58220359083,9696110,82.2536585365854,44167.6318669891
Belarus,Europe,208969.82971813146,9474511,72.9707317073171,17944.2098463253
Ukraine,Europe,572548.9837434913,45271947,71.1865853658537,8243.47351509088
Poland,Europe,310402.3329867297,38011735,77.6024390243903,24347.0736576846
Austria,Europe,85064.89515859539,8546356,81.490243902439,44320.5020125474
Hungary,Europe,92476.460365273,9866468,75.7634146341463,24161.4255236519
Moldova,Europe,32320.391773836833,3556397,71.258,4762.7808726743
Romania,Europe,238356.29711547357,19908979,74.9609756097561,19677.5202527307
Lithuania,Europe,63831.09147819559,2932367,74.5170731707317,26258.2100974103
Latvia,Europe,63923.533013601686,1993782,74.1243902439024,22172.2535081352
Estonia,Europe,44678.19680861726,1314545,77.0341463414634,27113.6859213723
Germany,Europe,357430.3412065657,80982500,81.090243902439,43560.6192440775
Bulgaria,Europe,110216.87505911825,7223938,74.4658536585366,16302.3205614307
Greece,Europe,131964.64666397715,10892413,81.3853658536585,24081.6305378246
Turkey,Asia,798849.164057534,77030628,75.239,22401.8804311394
Albania,Europe,29694.80029167606,2889104,77.963,10701.1207857986
Croatia,Europe,57530.85175302722,4238389,77.4780487804878,20334.4464738451
Switzerland,Europe,46185.25067297162,8188649,83.1975609756098,57218.0279263612
Luxembourg,Europe,2416.870482664978,556319,82.2292682926829,93655.3341630648
Belgium,Europe,30126.037885923313,11209057,81.2878048780488,41360.3955755286
Netherlands,Europe,40024.10448111802,16865008,81.7073170731707,45668.4414721322
Portugal,Europe,93408.59409916012,10401062,81.1219512195122,26023.6978492184
Spain,Europe,502306.46781808086,46480882,83.2292682926829,31195.4052422035
Ireland,Europe,58457.51341412076,4657740,81.3487804878049,48898.3286615603
New Caledonia,Oceania,23219.011736284552,268050,77.2528725957226,NA
Solomon Islands,Oceania,24728.114237136022,575504,70.113,2139.56074060145
New Zealand,Oceania,277627.6045396536,4509700,81.4048780487805,34455.3312172237
Australia,Oceania,7687613.84310903,23504138,82.3,43547.1974836868
Sri Lanka,Asia,65370.38952426107,20771e3,74.906,10650.3901782483
China,Asia,9409830.493433913,136427e4,75.932,12758.647789259
Taiwan,Asia,34345.701113844276,NA,NA,NA
Italy,Europe,315104.8511976049,60789140,83.090243902439,33945.8438783585
Denmark,Europe,42759.9277031922,5643475,80.7,45057.0741699595
United Kingdom,Europe,249986.39521154852,64613160,81.3048780487805,38251.7924802929
Iceland,Europe,107735.72136300623,327386,82.8609756097561,41701.1372653816
Azerbaijan,Asia,91113.25415431274,9535079,71.8,16715.1055213058
Georgia,Asia,69048.16050446029,3727e3,72.951,8749.15618927352
Philippines,Asia,292256.93938004086,100102249,68.813,6585.89594870884
Malaysia,Asia,338226.48656313843,30228017,74.976,24194.6339084542
Brunei Darussalam,Asia,10700.334245798074,411704,76.917,76089.2865740815
Slovenia,Europe,19118.122717949394,2061980,81.0780487804878,28417.656441512
Finland,Europe,341242.3388709205,5461512,81.1804878048781,39017.5372069548
Slovakia,Europe,47068.08202961854,5418649,76.8121951219512,27285.284673711
Czech Republic,Europe,81207.60292943622,10525347,78.8243902439024,29119.6166119074
Eritrea,Africa,119319.58487388949,NA,64.174,NA
Japan,Asia,404619.93285368854,127276e3,83.5878048780488,37337.3174057788
Paraguay,South America,401335.9163947885,6552584,72.913,8501.54353959203
Yemen,Asia,455915.0072541862,26246327,64.523,3766.80525494897
Saudi Arabia,Asia,1920324.1460891792,30776722,74.234,49958.4433361471
Antarctica,Antarctica,12335956.07635515,NA,NA,NA
Northern Cyprus,Asia,3786.36450592132,NA,NA,NA
Cyprus,Asia,6207.006190616856,1152309,80.173,29786.3656529772
Morocco,Africa,591718.9894320302,34318082,75.309,7078.88148932392
Egypt,Africa,996311.6231934065,91812566,71.12,9879.79935855302
Libya,Africa,1633720.717372596,6204108,71.659,16371.9021546442
Ethiopia,Africa,1132393.1671778986,97366774,64.535,1424.52698442707
Djibouti,Africa,21880.250511901726,912164,62.006,NA
Somaliland,Africa,167349.61274001343,NA,NA,NA
Uganda,Africa,245768.47938720885,38833338,59.224,1637.27508138464
Rwanda,Africa,23365.411192778156,11345357,66.188,1629.86886584829
Bosnia and Herzegovina,Europe,50605.07485165572,3566002,76.561,10516.7864355965
Macedonia,Europe,25062.25528605749,2077495,75.384,12298.4901835571
Serbia,Europe,76388.6050646267,7130576,75.3365853658537,13112.9089581967
Montenegro,Europe,13443.678059471747,621810,76.712,14796.6353955591
Kosovo,Europe,11230.261672153827,1821800,71.0975609756098,8698.29155889883
Trinidad and Tobago,North America,7737.80985537389,1354493,70.426,31181.8211959284
South Sudan,Africa,624909.0990858454,11530971,55.817,1935.87940008879
